"TG-GATEs","dose","dose_unit","time","time_unit","parameter","parameter_type","value","value_unit","outcome","source"
"bromobenzene",30,"mg/kg",4,"day","Liver","Weight",5.4,"Relative weight",0,"TG-GATEs"
"bromobenzene",100,"mg/kg",4,"day","Liver","Weight",5.95,"Relative weight",1,"TG-GATEs"
"bromobenzene",300,"mg/kg",4,"day","Liver","Weight",6.22,"Relative weight",1,"TG-GATEs"
"bucetin",100,"mg/kg",4,"day","Liver","Weight",5.21,"Relative weight",0,"TG-GATEs"
"bucetin",300,"mg/kg",4,"day","Liver","Weight",5.18,"Relative weight",0,"TG-GATEs"
"bucetin",1000,"mg/kg",4,"day","Liver","Weight",5.43,"Relative weight",0,"TG-GATEs"
"caffeine",10,"mg/kg",4,"day","Liver","Weight",4.88,"Relative weight",0,"TG-GATEs"
"caffeine",30,"mg/kg",4,"day","Liver","Weight",4.59,"Relative weight",1,"TG-GATEs"
"caffeine",100,"mg/kg",4,"day","Liver","Weight",4.55,"Relative weight",1,"TG-GATEs"
"captopril",100,"mg/kg",4,"day","Liver","Weight",5.39,"Relative weight",0,"TG-GATEs"
"captopril",300,"mg/kg",4,"day","Liver","Weight",5.35,"Relative weight",0,"TG-GATEs"
"captopril",1000,"mg/kg",4,"day","Liver","Weight",5.05,"Relative weight",0,"TG-GATEs"
"carbamazepine",30,"mg/kg",4,"day","Liver","Weight",5.33,"Relative weight",0,"TG-GATEs"
"carbamazepine",100,"mg/kg",4,"day","Liver","Weight",5.45,"Relative weight",0,"TG-GATEs"
"carbamazepine",300,"mg/kg",4,"day","Liver","Weight",6.09,"Relative weight",1,"TG-GATEs"
"carbon tetrachloride",30,"mg/kg",4,"day","Liver","Weight",5.43,"Relative weight",0,"TG-GATEs"
"carbon tetrachloride",100,"mg/kg",4,"day","Liver","Weight",5.32,"Relative weight",0,"TG-GATEs"
"carbon tetrachloride",300,"mg/kg",4,"day","Liver","Weight",5.51,"Relative weight",0,"TG-GATEs"
"chloramphenicol",100,"mg/kg",4,"day","Liver","Weight",4.95,"Relative weight",0,"TG-GATEs"
"chloramphenicol",300,"mg/kg",4,"day","Liver","Weight",5.39,"Relative weight",0,"TG-GATEs"
"chloramphenicol",1000,"mg/kg",4,"day","Liver","Weight",5.83,"Relative weight",1,"TG-GATEs"
"chlormadinone",100,"mg/kg",4,"day","Liver","Weight",4.78,"Relative weight",1,"TG-GATEs"
"chlormadinone",300,"mg/kg",4,"day","Liver","Weight",5.07,"Relative weight",0,"TG-GATEs"
"chlormadinone",1000,"mg/kg",4,"day","Liver","Weight",5.75,"Relative weight",1,"TG-GATEs"
"chlormezanone",50,"mg/kg",4,"day","Liver","Weight",5.26,"Relative weight",0,"TG-GATEs"
"chlormezanone",150,"mg/kg",4,"day","Liver","Weight",6.43,"Relative weight",1,"TG-GATEs"
"chlormezanone",500,"mg/kg",4,"day","Liver","Weight",6.42,"Relative weight",1,"TG-GATEs"
"chlorpheniramine",3,"mg/kg",4,"day","Liver","Weight",5.33,"Relative weight",0,"TG-GATEs"
"chlorpheniramine",10,"mg/kg",4,"day","Liver","Weight",5.04,"Relative weight",0,"TG-GATEs"
"chlorpheniramine",30,"mg/kg",4,"day","Liver","Weight",4.5,"Relative weight",1,"TG-GATEs"
"chlorpromazine",5,"mg/kg",4,"day","Liver","Weight",5.03,"Relative weight",0,"TG-GATEs"
"chlorpromazine",15,"mg/kg",4,"day","Liver","Weight",5.04,"Relative weight",0,"TG-GATEs"
"chlorpromazine",45,"mg/kg",4,"day","Liver","Weight",5.23,"Relative weight",0,"TG-GATEs"
"chlorpropamide",30,"mg/kg",4,"day","Liver","Weight",5.07,"Relative weight",0,"TG-GATEs"
"chlorpropamide",100,"mg/kg",4,"day","Liver","Weight",4.85,"Relative weight",0,"TG-GATEs"
"chlorpropamide",300,"mg/kg",4,"day","Liver","Weight",4.61,"Relative weight",1,"TG-GATEs"
"ciprofloxacin",100,"mg/kg",4,"day","Liver","Weight",4.88,"Relative weight",0,"TG-GATEs"
"ciprofloxacin",300,"mg/kg",4,"day","Liver","Weight",4.77,"Relative weight",1,"TG-GATEs"
"ciprofloxacin",1000,"mg/kg",4,"day","Liver","Weight",5.43,"Relative weight",0,"TG-GATEs"
"clofibrate",30,"mg/kg",4,"day","Liver","Weight",5.31,"Relative weight",0,"TG-GATEs"
"clofibrate",100,"mg/kg",4,"day","Liver","Weight",5.67,"Relative weight",1,"TG-GATEs"
"clofibrate",300,"mg/kg",4,"day","Liver","Weight",6.71,"Relative weight",1,"TG-GATEs"
"clomipramine",10,"mg/kg",4,"day","Liver","Weight",5.2,"Relative weight",0,"TG-GATEs"
"clomipramine",30,"mg/kg",4,"day","Liver","Weight",5.1,"Relative weight",0,"TG-GATEs"
"clomipramine",100,"mg/kg",4,"day","Liver","Weight",4.63,"Relative weight",1,"TG-GATEs"
"colchicine",1,"mg/kg",4,"day","Liver","Weight",5.41,"Relative weight",0,"TG-GATEs"
"colchicine",2,"mg/kg",4,"day","Liver","Weight",5.49,"Relative weight",0,"TG-GATEs"
"colchicine",5,"mg/kg",4,"day","Liver","Weight",5.01,"Relative weight",0,"TG-GATEs"
"coumarin",15,"mg/kg",4,"day","Liver","Weight",5.49,"Relative weight",0,"TG-GATEs"
"coumarin",50,"mg/kg",4,"day","Liver","Weight",5.88,"Relative weight",1,"TG-GATEs"
"coumarin",150,"mg/kg",4,"day","Liver","Weight",5.37,"Relative weight",0,"TG-GATEs"
"cyclophosphamide",2,"mg/kg",4,"day","Liver","Weight",5.24,"Relative weight",0,"TG-GATEs"
"cyclophosphamide",5,"mg/kg",4,"day","Liver","Weight",5.02,"Relative weight",0,"TG-GATEs"
"cyclophosphamide",15,"mg/kg",4,"day","Liver","Weight",4.54,"Relative weight",1,"TG-GATEs"
"cyclosporine A",10,"mg/kg",4,"day","Liver","Weight",4.85,"Relative weight",0,"TG-GATEs"
"cyclosporine A",30,"mg/kg",4,"day","Liver","Weight",4.85,"Relative weight",0,"TG-GATEs"
"cyclosporine A",100,"mg/kg",4,"day","Liver","Weight",4.5,"Relative weight",1,"TG-GATEs"
"danazol",100,"mg/kg",4,"day","Liver","Weight",5.2,"Relative weight",0,"TG-GATEs"
"danazol",300,"mg/kg",4,"day","Liver","Weight",5.52,"Relative weight",0,"TG-GATEs"
"danazol",1000,"mg/kg",4,"day","Liver","Weight",6.12,"Relative weight",1,"TG-GATEs"
"dantrolene",25,"mg/kg",4,"day","Liver","Weight",5.36,"Relative weight",0,"TG-GATEs"
"dantrolene",75,"mg/kg",4,"day","Liver","Weight",4.96,"Relative weight",0,"TG-GATEs"
"dantrolene",250,"mg/kg",4,"day","Liver","Weight",4.47,"Relative weight",1,"TG-GATEs"
"diazepam",25,"mg/kg",4,"day","Liver","Weight",5.21,"Relative weight",0,"TG-GATEs"
"diazepam",75,"mg/kg",4,"day","Liver","Weight",5.57,"Relative weight",0,"TG-GATEs"
"diazepam",250,"mg/kg",4,"day","Liver","Weight",5.32,"Relative weight",0,"TG-GATEs"
"diclofenac",1,"mg/kg",4,"day","Liver","Weight",5.06,"Relative weight",0,"TG-GATEs"
"diclofenac",3,"mg/kg",4,"day","Liver","Weight",5,"Relative weight",0,"TG-GATEs"
"diclofenac",10,"mg/kg",4,"day","Liver","Weight",5.18,"Relative weight",0,"TG-GATEs"
"diltiazem",80,"mg/kg",4,"day","Liver","Weight",5.59,"Relative weight",1,"TG-GATEs"
"diltiazem",240,"mg/kg",4,"day","Liver","Weight",5.82,"Relative weight",1,"TG-GATEs"
"diltiazem",800,"mg/kg",4,"day","Liver","Weight",5.7,"Relative weight",1,"TG-GATEs"
"disopyramide",40,"mg/kg",4,"day","Liver","Weight",5.05,"Relative weight",0,"TG-GATEs"
"disopyramide",120,"mg/kg",4,"day","Liver","Weight",4.59,"Relative weight",1,"TG-GATEs"
"disopyramide",400,"mg/kg",4,"day","Liver","Weight",4.49,"Relative weight",1,"TG-GATEs"
"disulfiram",60,"mg/kg",4,"day","Liver","Weight",5.76,"Relative weight",1,"TG-GATEs"
"disulfiram",200,"mg/kg",4,"day","Liver","Weight",6.22,"Relative weight",1,"TG-GATEs"
"disulfiram",600,"mg/kg",4,"day","Liver","Weight",5.59,"Relative weight",1,"TG-GATEs"
"enalapril",60,"mg/kg",4,"day","Liver","Weight",5.39,"Relative weight",0,"TG-GATEs"
"enalapril",200,"mg/kg",4,"day","Liver","Weight",5.21,"Relative weight",0,"TG-GATEs"
"enalapril",600,"mg/kg",4,"day","Liver","Weight",5.01,"Relative weight",0,"TG-GATEs"
"erythromycin ethylsuccinate",100,"mg/kg",4,"day","Liver","Weight",4.87,"Relative weight",0,"TG-GATEs"
"erythromycin ethylsuccinate",300,"mg/kg",4,"day","Liver","Weight",4.84,"Relative weight",0,"TG-GATEs"
"erythromycin ethylsuccinate",1000,"mg/kg",4,"day","Liver","Weight",4.44,"Relative weight",1,"TG-GATEs"
"ethambutol",100,"mg/kg",4,"day","Liver","Weight",5.11,"Relative weight",0,"TG-GATEs"
"ethambutol",300,"mg/kg",4,"day","Liver","Weight",5.56,"Relative weight",0,"TG-GATEs"
"ethambutol",1000,"mg/kg",4,"day","Liver","Weight",5.64,"Relative weight",1,"TG-GATEs"
"ethanol",400,"mg/kg",4,"day","Liver","Weight",5.29,"Relative weight",0,"TG-GATEs"
"ethanol",1200,"mg/kg",4,"day","Liver","Weight",5.15,"Relative weight",0,"TG-GATEs"
"ethanol",4000,"mg/kg",4,"day","Liver","Weight",5.04,"Relative weight",0,"TG-GATEs"
"ethinylestradiol",1,"mg/kg",4,"day","Liver","Weight",5.78,"Relative weight",1,"TG-GATEs"
"ethinylestradiol",3,"mg/kg",4,"day","Liver","Weight",6.57,"Relative weight",1,"TG-GATEs"
"ethinylestradiol",10,"mg/kg",4,"day","Liver","Weight",6.89,"Relative weight",1,"TG-GATEs"
"ethionamide",30,"mg/kg",4,"day","Liver","Weight",5.28,"Relative weight",0,"TG-GATEs"
"ethionamide",100,"mg/kg",4,"day","Liver","Weight",5.62,"Relative weight",1,"TG-GATEs"
"ethionamide",300,"mg/kg",4,"day","Liver","Weight",4.71,"Relative weight",1,"TG-GATEs"
"ethionine",25,"mg/kg",4,"day","Liver","Weight",4.73,"Relative weight",1,"TG-GATEs"
"ethionine",80,"mg/kg",4,"day","Liver","Weight",4.51,"Relative weight",1,"TG-GATEs"
"ethionine",250,"mg/kg",4,"day","Liver","Weight",4.16,"Relative weight",1,"TG-GATEs"
"etoposide",3,"mg/kg",4,"day","Liver","Weight",5.4,"Relative weight",0,"TG-GATEs"
"etoposide",10,"mg/kg",4,"day","Liver","Weight",5.06,"Relative weight",0,"TG-GATEs"
"etoposide",30,"mg/kg",4,"day","Liver","Weight",4.62,"Relative weight",1,"TG-GATEs"
"famotidine",100,"mg/kg",4,"day","Liver","Weight",4.74,"Relative weight",1,"TG-GATEs"
"famotidine",300,"mg/kg",4,"day","Liver","Weight",4.75,"Relative weight",1,"TG-GATEs"
"famotidine",1000,"mg/kg",4,"day","Liver","Weight",4.9,"Relative weight",0,"TG-GATEs"
"fenofibrate",10,"mg/kg",4,"day","Liver","Weight",5.51,"Relative weight",0,"TG-GATEs"
"fenofibrate",100,"mg/kg",4,"day","Liver","Weight",7.27,"Relative weight",1,"TG-GATEs"
"fenofibrate",1000,"mg/kg",4,"day","Liver","Weight",7.88,"Relative weight",1,"TG-GATEs"
"fluoxetine hydrochloride",3,"mg/kg",4,"day","Liver","Weight",5.49,"Relative weight",0,"TG-GATEs"
"fluoxetine hydrochloride",10,"mg/kg",4,"day","Liver","Weight",4.94,"Relative weight",0,"TG-GATEs"
"fluoxetine hydrochloride",30,"mg/kg",4,"day","Liver","Weight",4.61,"Relative weight",1,"TG-GATEs"
"fluphenazine",2,"mg/kg",4,"day","Liver","Weight",5.21,"Relative weight",0,"TG-GATEs"
"fluphenazine",6,"mg/kg",4,"day","Liver","Weight",4.69,"Relative weight",1,"TG-GATEs"
"fluphenazine",20,"mg/kg",4,"day","Liver","Weight",3.71,"Relative weight",1,"TG-GATEs"
"flutamide",15,"mg/kg",4,"day","Liver","Weight",5.32,"Relative weight",0,"TG-GATEs"
"flutamide",50,"mg/kg",4,"day","Liver","Weight",5.35,"Relative weight",0,"TG-GATEs"
"flutamide",150,"mg/kg",4,"day","Liver","Weight",6.19,"Relative weight",1,"TG-GATEs"
"furosemide",30,"mg/kg",4,"day","Liver","Weight",5.22,"Relative weight",0,"TG-GATEs"
"furosemide",100,"mg/kg",4,"day","Liver","Weight",4.91,"Relative weight",0,"TG-GATEs"
"furosemide",300,"mg/kg",4,"day","Liver","Weight",4.04,"Relative weight",1,"TG-GATEs"
"gemfibrozil",30,"mg/kg",4,"day","Liver","Weight",5.98,"Relative weight",1,"TG-GATEs"
"gemfibrozil",100,"mg/kg",4,"day","Liver","Weight",6.18,"Relative weight",1,"TG-GATEs"
"gemfibrozil",300,"mg/kg",4,"day","Liver","Weight",6.67,"Relative weight",1,"TG-GATEs"
"glibenclamide",100,"mg/kg",4,"day","Liver","Weight",4.94,"Relative weight",0,"TG-GATEs"
"glibenclamide",300,"mg/kg",4,"day","Liver","Weight",5.03,"Relative weight",0,"TG-GATEs"
"glibenclamide",1000,"mg/kg",4,"day","Liver","Weight",5.12,"Relative weight",0,"TG-GATEs"
"griseofulvin",100,"mg/kg",4,"day","Liver","Weight",5.36,"Relative weight",0,"TG-GATEs"
"griseofulvin",300,"mg/kg",4,"day","Liver","Weight",5.32,"Relative weight",0,"TG-GATEs"
"griseofulvin",1000,"mg/kg",4,"day","Liver","Weight",5.51,"Relative weight",0,"TG-GATEs"
"haloperidol",3,"mg/kg",4,"day","Liver","Weight",5.01,"Relative weight",0,"TG-GATEs"
"haloperidol",10,"mg/kg",4,"day","Liver","Weight",5.04,"Relative weight",0,"TG-GATEs"
"haloperidol",30,"mg/kg",4,"day","Liver","Weight",3.69,"Relative weight",1,"TG-GATEs"
"hexachlorobenzene",30,"mg/kg",4,"day","Liver","Weight",5.83,"Relative weight",1,"TG-GATEs"
"hexachlorobenzene",100,"mg/kg",4,"day","Liver","Weight",6.42,"Relative weight",1,"TG-GATEs"
"hexachlorobenzene",300,"mg/kg",4,"day","Liver","Weight",6.73,"Relative weight",1,"TG-GATEs"
"hydroxyzine",10,"mg/kg",4,"day","Liver","Weight",5.2,"Relative weight",0,"TG-GATEs"
"hydroxyzine",30,"mg/kg",4,"day","Liver","Weight",5.15,"Relative weight",0,"TG-GATEs"
"hydroxyzine",100,"mg/kg",4,"day","Liver","Weight",5.7,"Relative weight",1,"TG-GATEs"
"ibuprofen",20,"mg/kg",4,"day","Liver","Weight",4.94,"Relative weight",0,"TG-GATEs"
"ibuprofen",60,"mg/kg",4,"day","Liver","Weight",5.17,"Relative weight",0,"TG-GATEs"
"ibuprofen",200,"mg/kg",4,"day","Liver","Weight",5.2,"Relative weight",0,"TG-GATEs"
"imipramine",10,"mg/kg",4,"day","Liver","Weight",4.98,"Relative weight",0,"TG-GATEs"
"imipramine",30,"mg/kg",4,"day","Liver","Weight",4.59,"Relative weight",1,"TG-GATEs"
"imipramine",100,"mg/kg",4,"day","Liver","Weight",4.27,"Relative weight",1,"TG-GATEs"
"indomethacin",1,"mg/kg",4,"day","Liver","Weight",5.46,"Relative weight",0,"TG-GATEs"
"indomethacin",2,"mg/kg",4,"day","Liver","Weight",5.1,"Relative weight",0,"TG-GATEs"
"indomethacin",5,"mg/kg",4,"day","Liver","Weight",5.67,"Relative weight",1,"TG-GATEs"
"iproniazid",6,"mg/kg",4,"day","Liver","Weight",5.04,"Relative weight",0,"TG-GATEs"
"iproniazid",20,"mg/kg",4,"day","Liver","Weight",4.49,"Relative weight",1,"TG-GATEs"
"iproniazid",60,"mg/kg",4,"day","Liver","Weight",4.32,"Relative weight",1,"TG-GATEs"
"isoniazid",50,"mg/kg",4,"day","Liver","Weight",5.5,"Relative weight",0,"TG-GATEs"
"isoniazid",100,"mg/kg",4,"day","Liver","Weight",5.78,"Relative weight",1,"TG-GATEs"
"isoniazid",200,"mg/kg",4,"day","Liver","Weight",4.86,"Relative weight",0,"TG-GATEs"
"ketoconazole",10,"mg/kg",4,"day","Liver","Weight",5.16,"Relative weight",0,"TG-GATEs"
"ketoconazole",30,"mg/kg",4,"day","Liver","Weight",4.65,"Relative weight",1,"TG-GATEs"
"ketoconazole",100,"mg/kg",4,"day","Liver","Weight",5.57,"Relative weight",0,"TG-GATEs"
"labetalol",45,"mg/kg",4,"day","Liver","Weight",4.92,"Relative weight",0,"TG-GATEs"
"labetalol",150,"mg/kg",4,"day","Liver","Weight",5.18,"Relative weight",0,"TG-GATEs"
"labetalol",450,"mg/kg",4,"day","Liver","Weight",4.32,"Relative weight",1,"TG-GATEs"
"lomustine",1,"mg/kg",4,"day","Liver","Weight",5.37,"Relative weight",0,"TG-GATEs"
"lomustine",2,"mg/kg",4,"day","Liver","Weight",5.55,"Relative weight",0,"TG-GATEs"
"lomustine",6,"mg/kg",4,"day","Liver","Weight",5.01,"Relative weight",0,"TG-GATEs"
"lornoxicam",0,"mg/kg",4,"day","Liver","Weight",5.09,"Relative weight",0,"TG-GATEs"
"lornoxicam",1,"mg/kg",4,"day","Liver","Weight",5.33,"Relative weight",0,"TG-GATEs"
"lornoxicam",3,"mg/kg",4,"day","Liver","Weight",5.58,"Relative weight",1,"TG-GATEs"
"mefenamic acid",30,"mg/kg",4,"day","Liver","Weight",4.85,"Relative weight",0,"TG-GATEs"
"mefenamic acid",100,"mg/kg",4,"day","Liver","Weight",5.2,"Relative weight",0,"TG-GATEs"
"mefenamic acid",300,"mg/kg",4,"day","Liver","Weight",5.22,"Relative weight",0,"TG-GATEs"
"meloxicam",3,"mg/kg",4,"day","Liver","Weight",5.26,"Relative weight",0,"TG-GATEs"
"meloxicam",10,"mg/kg",4,"day","Liver","Weight",5.29,"Relative weight",0,"TG-GATEs"
"meloxicam",30,"mg/kg",4,"day","Liver","Weight",4.63,"Relative weight",1,"TG-GATEs"
"metformin",100,"mg/kg",4,"day","Liver","Weight",5.21,"Relative weight",0,"TG-GATEs"
"metformin",300,"mg/kg",4,"day","Liver","Weight",5.26,"Relative weight",0,"TG-GATEs"
"metformin",1000,"mg/kg",4,"day","Liver","Weight",5.84,"Relative weight",1,"TG-GATEs"
"methapyrilene",10,"mg/kg",4,"day","Liver","Weight",5.32,"Relative weight",0,"TG-GATEs"
"methapyrilene",30,"mg/kg",4,"day","Liver","Weight",5.29,"Relative weight",0,"TG-GATEs"
"methapyrilene",100,"mg/kg",4,"day","Liver","Weight",5.61,"Relative weight",1,"TG-GATEs"
"methimazole",10,"mg/kg",4,"day","Liver","Weight",5.79,"Relative weight",1,"TG-GATEs"
"methimazole",30,"mg/kg",4,"day","Liver","Weight",5.59,"Relative weight",1,"TG-GATEs"
"methimazole",100,"mg/kg",4,"day","Liver","Weight",5.55,"Relative weight",0,"TG-GATEs"
"methyldopa",60,"mg/kg",4,"day","Liver","Weight",4.86,"Relative weight",0,"TG-GATEs"
"methyldopa",200,"mg/kg",4,"day","Liver","Weight",4.6,"Relative weight",1,"TG-GATEs"
"methyldopa",600,"mg/kg",4,"day","Liver","Weight",4.49,"Relative weight",1,"TG-GATEs"
"methylene dianiline",10,"mg/kg",4,"day","Liver","Weight",5.13,"Relative weight",0,"TG-GATEs"
"methylene dianiline",30,"mg/kg",4,"day","Liver","Weight",5.51,"Relative weight",0,"TG-GATEs"
"methylene dianiline",100,"mg/kg",4,"day","Liver","Weight",5.39,"Relative weight",0,"TG-GATEs"
"methyltestosterone",30,"mg/kg",4,"day","Liver","Weight",4.89,"Relative weight",0,"TG-GATEs"
"methyltestosterone",100,"mg/kg",4,"day","Liver","Weight",5.32,"Relative weight",0,"TG-GATEs"
"methyltestosterone",300,"mg/kg",4,"day","Liver","Weight",5.61,"Relative weight",1,"TG-GATEs"
"mexiletine",40,"mg/kg",4,"day","Liver","Weight",5.16,"Relative weight",0,"TG-GATEs"
"mexiletine",120,"mg/kg",4,"day","Liver","Weight",5.4,"Relative weight",0,"TG-GATEs"
"mexiletine",400,"mg/kg",4,"day","Liver","Weight",4.6,"Relative weight",1,"TG-GATEs"
"monocrotaline",3,"mg/kg",4,"day","Liver","Weight",4.83,"Relative weight",0,"TG-GATEs"
"monocrotaline",10,"mg/kg",4,"day","Liver","Weight",4.8,"Relative weight",0,"TG-GATEs"
"monocrotaline",30,"mg/kg",4,"day","Liver","Weight",5.55,"Relative weight",0,"TG-GATEs"
"moxisylyte",50,"mg/kg",4,"day","Liver","Weight",4.94,"Relative weight",0,"TG-GATEs"
"moxisylyte",150,"mg/kg",4,"day","Liver","Weight",4.66,"Relative weight",1,"TG-GATEs"
"moxisylyte",500,"mg/kg",4,"day","Liver","Weight",5.41,"Relative weight",0,"TG-GATEs"
"naphthyl isothiocyanate",2,"mg/kg",4,"day","Liver","Weight",5.18,"Relative weight",0,"TG-GATEs"
"naphthyl isothiocyanate",5,"mg/kg",4,"day","Liver","Weight",5.39,"Relative weight",0,"TG-GATEs"
"naphthyl isothiocyanate",15,"mg/kg",4,"day","Liver","Weight",5.37,"Relative weight",0,"TG-GATEs"
"naproxen",6,"mg/kg",4,"day","Liver","Weight",5.08,"Relative weight",0,"TG-GATEs"
"naproxen",20,"mg/kg",4,"day","Liver","Weight",4.73,"Relative weight",1,"TG-GATEs"
"naproxen",60,"mg/kg",4,"day","Liver","Weight",4.27,"Relative weight",1,"TG-GATEs"
"nicotinic acid",100,"mg/kg",4,"day","Liver","Weight",5.13,"Relative weight",0,"TG-GATEs"
"nicotinic acid",300,"mg/kg",4,"day","Liver","Weight",5.17,"Relative weight",0,"TG-GATEs"
"nicotinic acid",1000,"mg/kg",4,"day","Liver","Weight",5.22,"Relative weight",0,"TG-GATEs"
"nifedipine",100,"mg/kg",4,"day","Liver","Weight",5.46,"Relative weight",0,"TG-GATEs"
"nifedipine",300,"mg/kg",4,"day","Liver","Weight",5.69,"Relative weight",1,"TG-GATEs"
"nifedipine",1000,"mg/kg",4,"day","Liver","Weight",6.07,"Relative weight",1,"TG-GATEs"
"nimesulide",10,"mg/kg",4,"day","Liver","Weight",5,"Relative weight",0,"TG-GATEs"
"nimesulide",30,"mg/kg",4,"day","Liver","Weight",5.5,"Relative weight",0,"TG-GATEs"
"nimesulide",100,"mg/kg",4,"day","Liver","Weight",5.65,"Relative weight",1,"TG-GATEs"
"nitrofurantoin",10,"mg/kg",4,"day","Liver","Weight",5.02,"Relative weight",0,"TG-GATEs"
"nitrofurantoin",30,"mg/kg",4,"day","Liver","Weight",5.24,"Relative weight",0,"TG-GATEs"
